provinces,country,confirmedCount,suspectedCount,curedCount,deadCount,updateTime
河南省,中国,1231,0.0,440,13,2020-02-16
河南省,中国,1212,0.0,391,13,2020-02-15
河南省,中国,1184,0.0,357,11,2020-02-14
河南省,中国,1169,0.0,296,10,2020-02-13
河南省,中国,1135,0.0,246,8,2020-02-12
河南省,中国,1105,0.0,218,7,2020-02-11
河南省,中国,1073,0.0,191,6,2020-02-10
河南省,中国,1033,0.0,153,6,2020-02-09
河南省,中国,981,0.0,116,4,2020-02-08
河南省,中国,914,0.0,86,3,2020-02-07
河南省,中国,851,0.0,56,2,2020-02-06
河南省,中国,764,0.0,47,2,2020-02-05
河南省,中国,675,2.0,27,2,2020-02-04
河南省,中国,566,0.0,16,2,2020-02-03
河南省,中国,493,0.0,10,2,2020-02-02
河南省,中国,422,0.0,3,2,2020-02-01
河南省,中国,352,0.0,3,2,2020-01-31
河南省,中国,278,0.0,2,2,2020-01-30
河南省,中国,206,0.0,1,2,2020-01-29
河南省,中国,168,0.0,0,1,2020-01-28
河南省,中国,128,0.0,0,1,2020-01-27
河南省,中国,83,0.0,0,1,2020-01-26
河南省,中国,32,0.0,0,0,2020-01-25
河南省,中国,9,0.0,0,0,2020-01-24
河南省,中国,5,0.0,0,0,2020-01-23
河南省,中国,5,0.0,0,0,2020-01-22
河南省,中国,1,0.0,0,0,2020-01-21
黑龙江省,中国,445,0.0,79,11,2020-02-16
黑龙江省,中国,425,0.0,68,11,2020-02-15
黑龙江省,中国,419,0.0,47,11,2020-02-14
黑龙江省,中国,395,0.0,33,9,2020-02-13
黑龙江省,中国,378,0.0,31,8,2020-02-12
黑龙江省,中国,360,0.0,28,8,2020-02-11
黑龙江省,中国,331,0.0,30,7,2020-02-10
黑龙江省,中国,307,0.0,14,6,2020-02-09
黑龙江省,中国,295,0.0,13,5,2020-02-08
黑龙江省,中国,277,0.0,12,3,2020-02-07
黑龙江省,中国,227,0.0,8,3,2020-02-06
黑龙江省,中国,190,0.0,7,2,2020-02-05
黑龙江省,中国,155,0.0,4,2,2020-02-04
黑龙江省,中国,121,0.0,2,2,2020-02-03
黑龙江省,中国,95,0.0,2,2,2020-02-02
黑龙江省,中国,80,0.0,2,2,2020-02-01
黑龙江省,中国,59,0.0,0,2,2020-01-31
黑龙江省,中国,44,0.0,0,2,2020-01-30
黑龙江省,中国,38,0.0,0,1,2020-01-29
黑龙江省,中国,33,0.0,0,1,2020-01-28
黑龙江省,中国,21,0.0,0,1,2020-01-27
黑龙江省,中国,16,0.0,0,1,2020-01-26
黑龙江省,中国,9,0.0,0,1,2020-01-25
黑龙江省,中国,4,0.0,0,1,2020-01-24
黑龙江省,中国,2,0.0,0,0,2020-01-23
黑龙江省,中国,0,1.0,0,0,2020-01-21
陕西省,中国,236,0.0,71,0,2020-02-16
陕西省,中国,232,0.0,60,0,2020-02-15
陕西省,中国,230,0.0,54,0,2020-02-14
陕西省,中国,229,0.0,46,0,2020-02-13
陕西省,中国,225,0.0,43,0,2020-02-12
陕西省,中国,219,0.0,32,0,2020-02-11
陕西省,中国,213,0.0,30,0,2020-02-10
陕西省,中国,208,0.0,25,0,2020-02-09
陕西省,中国,195,0.0,20,0,2020-02-08
陕西省,中国,184,0.0,17,0,2020-02-07
陕西省,中国,173,0.0,9,0,2020-02-06
陕西省,中国,165,0.0,6,0,2020-02-05
陕西省,中国,142,0.0,2,0,2020-02-04
陕西省,中国,128,0.0,0,0,2020-02-03
陕西省,中国,116,0.0,0,0,2020-02-02
陕西省,中国,101,0.0,0,0,2020-02-01
陕西省,中国,87,0.0,0,0,2020-01-31
陕西省,中国,63,0.0,0,0,2020-01-30
陕西省,中国,56,0.0,0,0,2020-01-29
陕西省,中国,46,0.0,0,0,2020-01-28
陕西省,中国,35,0.0,0,0,2020-01-27
陕西省,中国,22,0.0,0,0,2020-01-26
陕西省,中国,15,0.0,0,0,2020-01-25
陕西省,中国,5,0.0,0,0,2020-01-24
陕西省,中国,3,0.0,0,0,2020-01-23
甘肃省,中国,90,0.0,54,2,2020-02-16
甘肃省,中国,90,0.0,49,2,2020-02-15
甘肃省,中国,90,0.0,39,2,2020-02-13
甘肃省,中国,87,0.0,31,2,2020-02-12
甘肃省,中国,86,0.0,24,2,2020-02-11
甘肃省,中国,83,0.0,17,2,2020-02-10
甘肃省,中国,83,0.0,16,2,2020-02-09
甘肃省,中国,79,0.0,12,1,2020-02-08
甘肃省,中国,67,0.0,9,0,2020-02-07
甘肃省,中国,62,0.0,6,0,2020-02-05
甘肃省,中国,57,0.0,4,0,2020-02-04
甘肃省,中国,55,0.0,3,0,2020-02-03
甘肃省,中国,40,0.0,3,0,2020-02-02
甘肃省,中国,40,0.0,0,0,2020-02-01
甘肃省,中国,35,0.0,0,0,2020-01-31
甘肃省,中国,29,0.0,0,0,2020-01-30
甘肃省,中国,24,0.0,0,0,2020-01-29
甘肃省,中国,19,0.0,0,0,2020-01-28
甘肃省,中国,14,0.0,0,0,2020-01-27
甘肃省,中国,7,0.0,0,0,2020-01-26
甘肃省,中国,4,0.0,0,0,2020-01-25
甘肃省,中国,4,0.0,0,0,2020-01-24
甘肃省,中国,2,0.0,0,0,2020-01-23
山西省,中国,128,0.0,49,0,2020-02-16
山西省,中国,127,0.0,42,0,2020-02-15
山西省,中国,127,0.0,38,0,2020-02-14
山西省,中国,126,0.0,36,0,2020-02-13
山西省,中国,126,0.0,33,0,2020-02-12
山西省,中国,124,0.0,30,0,2020-02-11
山西省,中国,119,0.0,25,0,2020-02-09
山西省,中国,115,71.0,21,0,2020-02-08
山西省,中国,104,0.0,15,0,2020-02-07
山西省,中国,96,0.0,12,0,2020-02-06
山西省,中国,81,0.0,5,0,2020-02-05
山西省,中国,81,0.0,4,0,2020-02-04
山西省,中国,74,0.0,2,0,2020-02-03
山西省,中国,56,0.0,2,0,2020-02-02
山西省,中国,56,0.0,1,0,2020-02-01
山西省,中国,47,0.0,1,0,2020-01-31
山西省,中国,39,0.0,1,0,2020-01-30
山西省,中国,35,0.0,1,0,2020-01-29
山西省,中国,27,0.0,0,0,2020-01-28
山西省,中国,13,0.0,0,0,2020-01-26
山西省,中国,6,0.0,0,0,2020-01-25
山西省,中国,6,0.0,0,0,2020-01-24
山西省,中国,1,0.0,0,0,2020-01-23
山西省,中国,1,0.0,0,0,2020-01-22
湖南省,中国,1004,0.0,464,3,2020-02-16
湖南省,中国,1001,0.0,425,2,2020-02-15
湖南省,中国,988,0.0,364,2,2020-02-14
湖南省,中国,968,0.0,339,2,2020-02-13
湖南省,中国,946,0.0,304,2,2020-02-12
湖南省,中国,912,0.0,247,1,2020-02-11
湖南省,中国,879,0.0,208,1,2020-02-10
湖南省,中国,838,0.0,186,1,2020-02-09
湖南省,中国,803,0.0,156,1,2020-02-08
湖南省,中国,772,0.0,112,0,2020-02-07
湖南省,中国,711,0.0,81,0,2020-02-06
湖南省,中国,661,0.0,54,0,2020-02-05
湖南省,中国,593,0.0,31,0,2020-02-04
湖南省,中国,521,0.0,22,0,2020-02-03
湖南省,中国,463,0.0,16,0,2020-02-02
湖南省,中国,389,0.0,8,0,2020-02-01
湖南省,中国,332,0.0,2,0,2020-01-31
湖南省,中国,277,0.0,2,0,2020-01-30
湖南省,中国,221,0.0,0,0,2020-01-29
湖南省,中国,143,0.0,0,0,2020-01-28
湖南省,中国,100,0.0,0,0,2020-01-27
湖南省,中国,69,0.0,0,0,2020-01-26
湖南省,中国,43,0.0,0,0,2020-01-25
湖南省,中国,24,0.0,0,0,2020-01-24
湖南省,中国,9,0.0,0,0,2020-01-23
湖南省,中国,4,0.0,0,0,2020-01-22
湖南省,中国,1,0.0,0,0,2020-01-21
天津市,中国,124,0.0,45,3,2020-02-16
天津市,中国,122,0.0,37,3,2020-02-15
天津市,中国,120,0.0,31,3,2020-02-14
天津市,中国,119,0.0,21,3,2020-02-13
天津市,中国,112,0.0,11,2,2020-02-12
天津市,中国,106,0.0,10,2,2020-02-11
天津市,中国,95,0.0,8,1,2020-02-10
天津市,中国,91,0.0,4,1,2020-02-09
天津市,中国,88,0.0,4,1,2020-02-08
天津市,中国,81,0.0,2,1,2020-02-07
天津市,中国,79,0.0,2,1,2020-02-06
天津市,中国,69,0.0,2,1,2020-02-05
天津市,中国,67,0.0,2,0,2020-02-04
天津市,中国,60,0.0,1,0,2020-02-03
天津市,中国,48,0.0,1,0,2020-02-02
天津市,中国,41,0.0,0,0,2020-02-01
天津市,中国,32,0.0,0,0,2020-01-31
天津市,中国,31,0.0,0,0,2020-01-30
天津市,中国,27,0.0,0,0,2020-01-29
天津市,中国,24,0.0,0,0,2020-01-28
天津市,中国,23,0.0,0,0,2020-01-27
天津市,中国,14,0.0,0,0,2020-01-26
天津市,中国,10,0.0,0,0,2020-01-25
天津市,中国,8,0.0,0,0,2020-01-24
天津市,中国,5,0.0,0,0,2020-01-23
天津市,中国,4,0.0,0,0,2020-01-22
天津市,中国,2,0.0,0,0,2020-01-21
广东省,中国,1316,0.0,465,2,2020-02-16
广东省,中国,1294,0.0,410,2,2020-02-15
广东省,中国,1261,0.0,362,2,2020-02-14
广东省,中国,1241,0.0,314,2,2020-02-13
广东省,中国,1219,0.0,275,1,2020-02-12
广东省,中国,1177,0.0,212,1,2020-02-11
广东省,中国,1159,0.0,167,1,2020-02-10
广东省,中国,1131,0.0,141,1,2020-02-09
广东省,中国,1095,0.0,112,1,2020-02-08
广东省,中国,1034,0.0,88,1,2020-02-07
广东省,中国,970,0.0,69,0,2020-02-06
广东省,中国,895,0.0,49,0,2020-02-05
广东省,中国,813,0.0,30,0,2020-02-04
广东省,中国,725,0.0,21,0,2020-02-03
广东省,中国,632,0.0,15,0,2020-02-02
广东省,中国,535,0.0,14,0,2020-02-01
广东省,中国,436,0.0,11,0,2020-01-31
广东省,中国,354,0.0,10,0,2020-01-30
广东省,中国,277,0.0,5,0,2020-01-29
广东省,中国,207,0.0,4,0,2020-01-28
广东省,中国,151,0.0,4,0,2020-01-27
广东省,中国,111,0.0,2,0,2020-01-26
广东省,中国,78,0.0,2,0,2020-01-25
广东省,中国,53,0.0,2,0,2020-01-24
广东省,中国,32,0.0,0,0,2020-01-23
广东省,中国,26,1.0,0,0,2020-01-22
广东省,中国,17,4.0,0,0,2020-01-21
山东省,中国,537,0.0,173,2,2020-02-16
山东省,中国,532,0.0,156,2,2020-02-15
山东省,中国,523,0.0,136,2,2020-02-14
山东省,中国,509,0.0,105,2,2020-02-13
山东省,中国,497,0.0,92,2,2020-02-12
山东省,中国,487,0.0,80,1,2020-02-11
山东省,中国,466,0.0,66,1,2020-02-10
山东省,中国,444,0.0,63,1,2020-02-09
山东省,中国,416,0.0,44,0,2020-02-08
山东省,中国,386,0.0,37,0,2020-02-07
山东省,中国,347,0.0,27,0,2020-02-06
山东省,中国,307,0.0,15,0,2020-02-05
山东省,中国,275,0.0,11,0,2020-02-04
山东省,中国,259,0.0,7,0,2020-02-03
山东省,中国,230,0.0,6,0,2020-02-02
山东省,中国,206,0.0,3,0,2020-02-01
山东省,中国,184,0.0,2,0,2020-01-31
山东省,中国,158,0.0,1,0,2020-01-30
山东省,中国,130,0.0,1,0,2020-01-29
山东省,中国,95,0.0,0,0,2020-01-28
山东省,中国,75,0.0,1,0,2020-01-27
山东省,中国,46,0.0,0,0,2020-01-26
山东省,中国,27,0.0,0,0,2020-01-25
山东省,中国,15,0.0,0,0,2020-01-24
山东省,中国,6,0.0,0,0,2020-01-23
山东省,中国,2,0.0,0,0,2020-01-22
山东省,中国,1,0.0,0,0,2020-01-21
福建省,中国,287,0.0,82,0,2020-02-16
福建省,中国,285,0.0,71,0,2020-02-15
福建省,中国,281,0.0,63,0,2020-02-14
福建省,中国,279,0.0,57,0,2020-02-13
福建省,中国,272,0.0,53,0,2020-02-12
福建省,中国,267,0.0,45,0,2020-02-11
福建省,中国,261,0.0,39,0,2020-02-10
福建省,中国,250,0.0,35,0,2020-02-09
福建省,中国,239,0.0,24,0,2020-02-08
福建省,中国,224,0.0,20,0,2020-02-07
福建省,中国,215,0.0,14,0,2020-02-06
福建省,中国,205,0.0,11,0,2020-02-05
福建省,中国,194,0.0,3,0,2020-02-04
福建省,中国,179,0.0,1,0,2020-02-03
福建省,中国,159,0.0,0,0,2020-02-02
福建省,中国,144,0.0,0,0,2020-02-01
福建省,中国,120,0.0,0,0,2020-01-31
福建省,中国,101,0.0,0,0,2020-01-30
福建省,中国,84,0.0,0,0,2020-01-29
福建省,中国,80,0.0,0,0,2020-01-28
福建省,中国,59,0.0,0,0,2020-01-27
福建省,中国,35,0.0,0,0,2020-01-26
福建省,中国,18,20.0,0,0,2020-01-25
福建省,中国,10,2.0,0,0,2020-01-24
福建省,中国,5,0.0,0,0,2020-01-23
福建省,中国,1,0.0,0,0,2020-01-22
河北省,中国,300,0.0,105,3,2020-02-16
河北省,中国,291,0.0,101,3,2020-02-15
河北省,中国,283,0.0,87,3,2020-02-14
河北省,中国,265,0.0,68,3,2020-02-13
河北省,中国,251,0.0,54,2,2020-02-12
河北省,中国,251,0.0,48,2,2020-02-11
河北省,中国,218,0.0,41,2,2020-02-10
河北省,中国,206,0.0,34,2,2020-02-09
河北省,中国,195,0.0,30,1,2020-02-08
河北省,中国,172,0.0,22,1,2020-02-07
河北省,中国,157,0.0,13,1,2020-02-06
河北省,中国,135,0.0,6,1,2020-02-05
河北省,中国,126,0.0,4,1,2020-02-04
河北省,中国,113,0.0,3,1,2020-02-03
河北省,中国,104,1.0,3,1,2020-02-02
河北省,中国,96,0.0,0,1,2020-02-01
河北省,中国,82,0.0,0,1,2020-01-31
河北省,中国,65,0.0,0,1,2020-01-30
河北省,中国,48,0.0,0,1,2020-01-29
河北省,中国,33,0.0,0,1,2020-01-28
河北省,中国,18,0.0,0,1,2020-01-27
河北省,中国,13,0.0,0,1,2020-01-26
河北省,中国,8,0.0,0,1,2020-01-25
河北省,中国,2,0.0,0,1,2020-01-24
河北省,中国,1,0.0,0,1,2020-01-23
河北省,中国,1,0.0,0,0,2020-01-22
广西壮族自治区,中国,237,0.0,49,2,2020-02-16
广西壮族自治区,中国,235,0.0,44,2,2020-02-15
广西壮族自治区,中国,226,0.0,36,2,2020-02-14
广西壮族自治区,中国,222,0.0,33,2,2020-02-13
广西壮族自治区,中国,222,0.0,32,1,2020-02-12
广西壮族自治区,中国,215,0.0,33,1,2020-02-11
广西壮族自治区,中国,210,0.0,24,1,2020-02-10
广西壮族自治区,中国,195,0.0,18,1,2020-02-09
广西壮族自治区,中国,183,0.0,17,0,2020-02-08
广西壮族自治区,中国,172,0.0,17,0,2020-02-07
广西壮族自治区,中国,168,0.0,14,0,2020-02-06
广西壮族自治区,中国,150,0.0,13,0,2020-02-05
广西壮族自治区,中国,139,0.0,10,0,2020-02-04
广西壮族自治区,中国,127,0.0,7,0,2020-02-03
广西壮族自治区,中国,111,0.0,2,0,2020-02-02
广西壮族自治区,中国,100,0.0,2,0,2020-02-01
广西壮族自治区,中国,87,0.0,2,0,2020-01-31
广西壮族自治区,中国,78,0.0,2,0,2020-01-30
广西壮族自治区,中国,58,0.0,2,0,2020-01-29
广西壮族自治区,中国,51,0.0,2,0,2020-01-28
广西壮族自治区,中国,46,0.0,0,0,2020-01-27
广西壮族自治区,中国,36,0.0,0,0,2020-01-26
广西壮族自治区,中国,23,0.0,0,0,2020-01-24
广西壮族自治区,中国,5,0.0,0,0,2020-01-23
广西壮族自治区,中国,2,1.0,0,0,2020-01-22
广西壮族自治区,中国,0,1.0,0,0,2020-01-21
海南省,中国,162,0.0,52,4,2020-02-16
海南省,中国,162,0.0,39,4,2020-02-15
海南省,中国,159,0.0,43,4,2020-02-14
海南省,中国,157,0.0,30,4,2020-02-13
海南省,中国,157,0.0,27,4,2020-02-12
海南省,中国,144,0.0,20,3,2020-02-11
海南省,中国,138,0.0,19,3,2020-02-10
海南省,中国,131,0.0,19,3,2020-02-09
海南省,中国,124,0.0,14,2,2020-02-08
海南省,中国,117,0.0,10,2,2020-02-07
海南省,中国,106,0.0,8,1,2020-02-06
海南省,中国,99,0.0,5,1,2020-02-05
海南省,中国,80,0.0,5,1,2020-02-04
海南省,中国,72,0.0,4,1,2020-02-03
海南省,中国,64,0.0,4,1,2020-02-02
海南省,中国,62,0.0,1,1,2020-02-01
海南省,中国,53,0.0,1,1,2020-01-31
海南省,中国,46,0.0,1,1,2020-01-30
海南省,中国,43,0.0,0,1,2020-01-29
海南省,中国,40,0.0,0,1,2020-01-28
海南省,中国,33,0.0,0,1,2020-01-27
海南省,中国,22,0.0,0,0,2020-01-26
海南省,中国,19,0.0,0,0,2020-01-25
海南省,中国,8,0.0,0,0,2020-01-24
海南省,中国,5,0.0,0,0,2020-01-23
海南省,中国,4,0.0,0,0,2020-01-22
海南省,中国,0,1.0,0,0,2020-01-21
辽宁省,中国,121,0.0,40,1,2020-02-16
辽宁省,中国,119,0.0,31,1,2020-02-15
辽宁省,中国,119,0.0,29,1,2020-02-14
辽宁省,中国,117,0.0,22,1,2020-02-13
辽宁省,中国,116,0.0,20,1,2020-02-12
辽宁省,中国,111,0.0,19,0,2020-02-11
辽宁省,中国,108,0.0,13,0,2020-02-10
辽宁省,中国,107,0.0,12,0,2020-02-09
辽宁省,中国,105,0.0,8,0,2020-02-08
辽宁省,中国,99,0.0,7,0,2020-02-07
辽宁省,中国,94,0.0,5,0,2020-02-06
辽宁省,中国,89,0.0,4,0,2020-02-05
辽宁省,中国,81,0.0,2,0,2020-02-04
辽宁省,中国,74,0.0,1,0,2020-02-03
辽宁省,中国,70,0.0,1,0,2020-02-02
辽宁省,中国,64,0.0,1,0,2020-02-01
辽宁省,中国,60,0.0,1,0,2020-01-31
辽宁省,中国,41,0.0,1,0,2020-01-30
辽宁省,中国,39,0.0,1,0,2020-01-29
辽宁省,中国,34,0.0,0,0,2020-01-28
辽宁省,中国,27,0.0,0,0,2020-01-27
辽宁省,中国,22,0.0,0,0,2020-01-26
辽宁省,中国,17,0.0,0,0,2020-01-25
辽宁省,中国,12,0.0,0,0,2020-01-24
辽宁省,中国,3,0.0,0,0,2020-01-23
辽宁省,中国,2,0.0,0,0,2020-01-22
辽宁省,中国,0,1.0,0,0,2020-01-21
澳门,中国,10,0.0,5,0,2020-02-16
澳门,中国,10,0.0,3,0,2020-02-13
澳门,中国,10,0.0,2,0,2020-02-12
澳门,中国,10,0.0,1,0,2020-02-06
澳门,中国,10,0.0,0,0,2020-02-04
澳门,中国,8,0.0,0,0,2020-02-02
澳门,中国,7,0.0,0,0,2020-01-28
澳门,中国,6,0.0,0,0,2020-01-26
澳门,中国,2,0.0,0,0,2020-01-23
澳门,中国,1,0.0,0,0,2020-01-22
湖北省,中国,56249,0.0,5666,1596,2020-02-16
湖北省,中国,54406,0.0,4821,1457,2020-02-15
湖北省,中国,54406,0.0,4774,1457,2020-02-14
湖北省,中国,48206,0.0,3459,1310,2020-02-13
湖北省,中国,48206,0.0,3441,1310,2020-02-12
湖北省,中国,33366,0.0,2639,1068,2020-02-11
湖北省,中国,31728,0.0,2222,974,2020-02-10
湖北省,中国,29631,0.0,1795,871,2020-02-09
湖北省,中国,27100,23638.0,1439,780,2020-02-08
湖北省,中国,24953,0.0,1115,699,2020-02-07
湖北省,中国,22112,0.0,817,618,2020-02-06
湖北省,中国,19665,0.0,633,549,2020-02-05
湖北省,中国,16678,0.0,522,479,2020-02-04
湖北省,中国,13522,0.0,386,414,2020-02-03
湖北省,中国,9074,0.0,267,294,2020-02-02
湖北省,中国,9074,0.0,215,294,2020-02-01
湖北省,中国,5806,0.0,141,204,2020-01-31
湖北省,中国,5806,0.0,116,204,2020-01-30
湖北省,中国,4586,0.0,90,162,2020-01-29
湖北省,中国,3554,0.0,80,125,2020-01-28
湖北省,中国,1423,0.0,47,76,2020-01-27
湖北省,中国,1423,0.0,44,76,2020-01-26
湖北省,中国,761,0.0,32,40,2020-01-25
湖北省,中国,729,0.0,32,39,2020-01-24
湖北省,中国,444,0.0,0,0,2020-01-23
湖北省,中国,444,,28,17,2020-01-22
湖北省,中国,270,11.0,25,6,2020-01-21
台湾,中国,20,0.0,2,1,2020-02-16
台湾,中国,18,0.0,2,0,2020-02-14
台湾,中国,18,0.0,1,0,2020-02-12
台湾,中国,18,0.0,1,0,2020-02-09
